Date, Inlet,Outlet,Set_Point,Unit_Consumed,Operating_Hrs,Load_percentage
01-Apr-17,,,,300,0,
02-Apr-17,,,,100,0,
03-Apr-17,,,,100,0,
04-Apr-17,17,12.5,10,2000,11.09,97
05-Apr-17,12.4,13.7,10,500,2.84,95
06-Apr-17,,,,100,0,
07-Apr-17,,,,0,0,
08-Apr-17,16.6,12,10,1600,8.77,98
09-Apr-17,16.4,12.1,10,1300,8.18,89
10-Apr-17,17.2,12.2,10,1100,5.94,96
11-Apr-17,17.4,13.1,10,1000,5.44,93
12-Apr-17,,,,100,0,
13-Apr-17,-,-,,200,0,
14-Apr-17,19.3,14.3,10,800,1.79,88
15-Apr-17,19,14.8,10,500,1.09,99
16-Apr-17,,,,0,0,
17-Apr-17,,,,500,0,
18-Apr-17,,,,400,0,
19-Apr-17,18.5,14.3,10,3700,18.88,98
20-Apr-17,17.5,12.6,10,3800,19.79,97
21-Apr-17,17.5,12.6,10,4200,21.44,96
22-Apr-17,17.8,12.6,10,4000,20.58,97
23-Apr-17,,,,0,0,
24-Apr-17,17.8,12.9,10,4000,20.94,97
25-Apr-17,16.2,12.3,10,3900,19.28,98
26-Apr-17,16.2,12.1,10,3900,19.74,98
27-Apr-17,17.1,13,10,3400,18.28,98
28-Apr-17,,,,400,0,
29-Apr-17,16.7,12.8,10,3600,19.73,96
30-Apr-17,17.2,12.4,10,2700,14.91,97
01-May-17,16.6,12.1,10,3500,19.36,96
02-May-17,16.9,12.7,10,3100,15.64,96
03-May-17,16.7,12.7,10,2900,14.98,98
04-May-17,15.2,12,10,3200,15.52,97
05-May-17,18.4,15,10,1900,8.87,97
06-May-17,17.8,13.3,10,3000,14.68,96
07-May-17,16.91,12.3,10,3700,18.93,97
08-May-17,19.9,14.8,10,4000,20.23,96
09-May-17,17.7,12.5,10,4300,20.22,96
10-May-17,17.3,12.3,10,4100,19.72,97
11-May-17,19.7,14.5,10,100,0.93,94
12-May-17,18.8,13.3,10,3900,20.17,97
13-May-17,17.6,12.4,10,3700,19.02,97
14-May-17,15.9,12.1,10,3900,20.99,96
15-May-17,18,13,10,4300,21.15,98
16-May-17,17.8,12.6,10,4000,19.11,97
17-May-17,,,,100,0,
18-May-17,,,,200,0,
19-May-17,18,12.3,10,3612,21.8,97
20-May-17,17.8,12.1,10,2908.2,19.72,97
21-May-17,17.6,12,10,3450.84,19.39,95
22-May-17,18,12.2,10,3325.78,19.7,95
23-May-17,17.8,12.9,10,4028.86,19.93,98
24-May-17,16.6,12.2,10,3577.82,21.15,95
25-May-17,17,12.3,10,3837.46,21.02,97
26-May-17,17.6,12.3,10,3731.24,20.03,98
27-May-17,16.8,12.3,10,3863.38,20.22,98
28-May-17,16.1,12.1,10,3257.82,18.91,94
29-May-17,16.8,12.3,10,3057.32,19.14,95
30-May-17,16.6,12,10,865.5,3.97,95
31-May-17,,,,367.64,0,
01-Jun-17,,,,10,0,
02-Jun-17,,,,463,0,
03-Jun-17,17.1,12,10,2554,11.81,96
04-Jun-17,18.2,13.2,10,4500,20.89,98
05-Jun-17,18.6,14.1,10,4514,21.08,97
06-Jun-17,18.5,14.6,10,4399,20.2,98
07-Jun-17,17.6,12.8,10,3649,17.88,96
08-Jun-17,16.7,12.5,10,4633,21.15,98
09-Jun-17,17.8,13.5,10,4096,20.95,97
10-Jun-17,16.8,12.4,10,1001,4.04,96
11-Jun-17,,,,427,0,
12-Jun-17,,,,348,0,
13-Jun-17,16.6,12,10,784,2.83,96
14-Jun-17,,,,454,0,
15-Jun-17,,,,839,0,
16-Jun-17,17.1,12.9,10,1317,3.87,96
17-Jun-17,,,,475,0,
18-Jun-17,17,12.3,10,1451,4.11,97
19-Jun-17,18.7,13.6,10,3588,17.05,97
20-Jun-17,18.9,14.1,10,4316,19.99,96
21-Jun-17,18.9,14.1,8,4358,20.97,96
22-Jun-17,17.9,14.1,8,3874,17.23,97
23-Jun-17,16,12.3,8,345,2,99
24-Jun-17,17.7,13.3,8,4601,20.89,98
25-Jun-17,19.8,15.1,8,4375,19.91,98
26-Jun-17,16.9,13.6,8,280,1.71,97
27-Jun-17,18.9,14.1,8,4364,18.92,97
28-Jun-17,17.2,12.7,8,2079,10.25,98
29-Jun-17,,,,0,0,
30-Jun-17,17.7,13.2,8,504,2.25,98
01-Jul-17,16.2,12.7,8,1621,8.68,96
02-Jul-17,18.3,13.7,8,979,4.17,97
03-Jul-17,17.3,14,8,1209,4.69,94
04-Jul-17,18.1,13.6,8,2458,10.45,97
05-Jul-17,17.4,13.2,8,4365,20.56,98
06-Jul-17,16.8,12.1,8,2410,9.3,97
07-Jul-17,17.4,12.5,8,4150,18.86,98
08-Jul-17,17.8,13.5,8,5427,23.36,98
09-Jul-17,17.1,12.6,8,4810,22.43,96
10-Jul-17,16.5,12.3,8,5260,23.5,95
11-Jul-17,17.7,13.4,8,4750,21.74,97
12-Jul-17,,,,190,0,
13-Jul-17,,,,640,0,
14-Jul-17,,,,630,0,
15-Jul-17,18.5,13.6,8,930,2.07,98
16-Jul-17,,,,590,0,
17-Jul-17,18.3,13.9,8,3500,15.03,97
18-Jul-17,,,,439,0,
19-Jul-17,,,,333,0,
20-Jul-17,,,,400,0,
21-Jul-17,,,,370,0,
22-Jul-17,,,,320,0,
23-Jul-17,,,,200,0,
24-Jul-17,,,,328,0,
25-Jul-17,,,,620,0,
26-Jul-17,,,,890,0,
27-Jul-17,,,,550,0,
28-Jul-17,16.5,12.1,8,3940,20.77,97
29-Jul-17,17.5,12.6,8,4940,23,98
30-Jul-17,17.9,13.7,8,5110,23.07,96
31-Jul-17,17.2,12.8,8,4760,23.28,97
01-Aug-17,17.1,13.2,8,3790,17.07,95
02-Aug-17,18.4,13.2,8,1740,6.03,98
03-Aug-17,17.4,12.8,8,980,1.48,96
04-Aug-17,17.7,13.8,8,970,1.3,92
05-Aug-17,16.7,12.3,8,2860,7.65,96
06-Aug-17,17.5,13.2,8,2320,8,96
07-Aug-17,,,,70,0,
08-Aug-17,16.4,12.1,8,2720,11.32,97
09-Aug-17,16.7,12.6,8,4640,19.87,98
10-Aug-17,17.6,13.5,8,5660,23.85,98
11-Aug-17,16.4,12.7,8,4260,20,98
12-Aug-17,16.9,13.1,8,480,1.24,98
13-Aug-17,,,,520,0,
14-Aug-17,,,,290,0,
15-Aug-17,,,,170,0,
16-Aug-17,17.3,12.7,8,1520,6.2,98
17-Aug-17,17.9,13.6,8,4780,23.08,97
18-Aug-17,18.4,14.2,8,2320,7.32,96
19-Aug-17,,,,680,0,
20-Aug-17,,,,860,0,
21-Aug-17,16.8,12.5,8,3390,14.72,96
22-Aug-17,16.5,12.1,8,1690,4.08,97
23-Aug-17,,,,620,0,
24-Aug-17,17.2,12.8,8,1000,2.31,97
25-Aug-17,17.4,13.1,8,1050,2.86,98
26-Aug-17,,,,470,0,
27-Aug-17,,,,670,0,
28-Aug-17,17.5,12.6,8,940,3.06,97
