Date,time,smd_temp,smd_RH,amb_temp,amb_RH,amb_temp1,amb_temp2,amb_RH_next1,amb_RH_next2,TRAINE1,TRAINE2,TRAINE3,SMD,chiller_state
2017-04-01,7,26.5,63.07,22.2,75.0,27.2,32.8,56.0,56.0,0.0,0.0,0.0,98.0,0
2017-04-01,8,27.7,64.14,27.2,56.0,27.2,32.8,56.0,40.0,0.0,0.0,0.0,167.0,0
2017-04-01,9,27.7,64.14,27.2,56.0,32.8,36.7,40.0,40.0,0.0,0.0,8.0,299.0,0
2017-04-01,10,26.4,63.86,32.8,40.0,32.8,36.7,40.0,26.0,10.0,107.0,120.0,392.0,1
2017-04-01,11,26.4,63.86,32.8,40.0,36.7,37.2,26.0,26.0,32.0,50.0,152.0,419.0,1
2017-04-01,12,26.4,63.0,36.7,26.0,36.7,37.2,26.0,18.0,34.0,35.0,153.0,449.0,1
2017-04-01,13,26.4,63.0,36.7,26.0,37.2,34.4,18.0,18.0,5.0,11.0,0.0,431.0,1
2017-04-01,14,27.4,63.93,37.2,18.0,37.2,34.4,18.0,26.0,31.0,145.0,31.0,387.0,1
2017-04-01,15,27.4,63.93,37.2,18.0,34.4,31.1,26.0,26.0,35.0,8.0,158.0,376.0,1
2017-04-01,16,27.3,63.86,34.4,26.0,34.4,31.1,26.0,38.0,35.0,12.0,186.0,441.0,1
2017-04-01,17,27.3,63.86,34.4,26.0,31.1,29.4,38.0,38.0,44.0,32.0,71.0,510.0,1
2017-04-01,18,27.3,63.86,31.1,38.0,31.1,29.4,38.0,42.0,29.0,12.0,23.0,515.0,1
2017-04-01,19,27.3,63.9,31.1,38.0,29.4,28.3,42.0,42.0,3.0,27.0,124.0,510.0,1
2017-04-01,20,27.5,64.0,29.4,42.0,29.4,28.3,42.0,54.0,10.0,171.0,64.0,509.0,1
2017-04-01,21,27.5,64.0,29.4,42.0,28.3,26.1,54.0,54.0,11.0,199.0,64.0,535.0,1
2017-04-01,22,28.5,64.0,28.3,54.0,28.3,26.1,54.0,59.0,10.0,171.0,55.0,512.0,1
2017-04-01,23,28.5,64.0,28.3,54.0,26.1,24.4,59.0,59.0,0.0,7.0,21.0,493.0,1
2017-04-01,0,27.1,64.7,26.1,59.0,26.1,24.4,59.0,61.0,8.0,196.0,63.0,498.0,0
2017-04-01,1,27.1,64.7,26.1,59.0,24.4,23.3,61.0,61.0,2.0,205.0,63.0,480.0,0
2017-04-01,2,26.1,63.9,24.4,61.0,24.4,23.3,61.0,64.0,10.0,168.0,55.0,523.0,0
2017-04-01,3,26.1,63.9,24.4,61.0,23.3,23.3,64.0,64.0,0.0,0.0,1.0,529.0,0
2017-04-01,4,26.4,63.0,23.3,64.0,23.3,22.8,64.0,64.0,0.0,0.0,1.0,505.0,0
2017-04-01,5,26.4,63.0,23.3,64.0,23.3,26.7,64.0,64.0,0.0,0.0,0.0,533.0,0
2017-04-01,6,26.4,63.0,23.3,64.0,22.8,26.7,64.0,52.0,0.0,0.0,0.0,521.0,0
2017-04-02,7,27.2,63.7,22.8,64.0,26.7,32.2,52.0,52.0,0.0,0.0,2.0,457.0,0
