Date,time,smd_temp,smd_RH,amb_temp,amb_RH,amb_temp1,amb_temp2,amb_RH_next1,amb_RH_next2,TRAINE1,TRAINE2,TRAINE3,SMD,chiller_state
04-01-2017,7,26.5,63.07,22.2 ,75,27.2,32.8,56,56,0,0,0,98,0
04-01-2017,8,27.7,64.14,27.2 ,56,27.2,32.8,56,40,0,0,0,167,0
04-01-2017,9,27.7,64.14,27.2 ,56,32.8,36.7,40,40,0,0,8,299,0
04-01-2017,10,26.4,63.86,32.8 ,40,32.8,36.7,40,26,10,107,120,392,1
04-01-2017,11,26.4,63.86,32.8 ,40,36.7,37.2,26,26,32,50,152,419,1
04-01-2017,12,26.4,63,36.7 ,26,36.7,37.2,26,18,34,35,153,449,1
04-01-2017,13,26.4,63,36.7 ,26,37.2,34.4,18,18,5,11,0,431,1
04-01-2017,14,27.4,63.93,37.2 ,18,37.2,34.4,18,26,31,145,31,387,1
04-01-2017,15,27.4,63.93,37.2 ,18,34.4,31.1,26,26,35,8,158,376,1
04-01-2017,16,27.3,63.86,34.4 ,26,34.4,31.1,26,38,35,12,186,441,1
04-01-2017,17,27.3,63.86,34.4 ,26,31.1,29.4,38,38,44,32,71,510,1
04-01-2017,18,27.3,63.86,31.1 ,38,31.1,29.4,38,42,29,12,23,515,1
04-01-2017,19,27.3,63.9,31.1,38,29.4,28.3,42,42,3,27,124,510,1
04-01-2017,20,27.5,64,29.4,42,29.4,28.3,42,54,10,171,64,509,1
04-01-2017,21,27.5,64,29.4,42,28.3,26.1,54,54,11,199,64,535,1
04-01-2017,22,28.5,64,28.3,54,28.3,26.1,54,59,10,171,55,512,1
04-01-2017,23,28.5,64,28.3,54,26.1,24.4,59,59,0,7,21,493,1
04-01-2017,0,27.1,64.7,26.1,59,26.1,24.4,59,61,8,196,63,498,0
04-01-2017,1,27.1,64.7,26.1,59,24.4,23.3,61,61,2,205,63,480,0
04-01-2017,2,26.1,63.9,24.4,61,24.4,23.3,61,64,10,168,55,523,0
04-01-2017,3,26.1,63.9,24.4,61,23.3,23.3,64,64,0,0,1,529,0
04-01-2017,4,26.4,63,23.3,64,23.3,22.8,64,64,0,0,1,505,0
04-01-2017,5,26.4,63,23.3,64,23.3,26.7,64,64,0,0,0,533,0
04-01-2017,6,26.4,63,23.3,64,22.8,26.7,64,52,0,0,0,521,0
04-02-2017,7,27.2,63.7,22.8,64,26.7,32.2,52,52,0,0,2,457,0
04-02-2017,8,26.7,63.3,26.7,52,26.7,32.2,52,31,0,0,0,548,0
04-02-2017,9,26.7,63.3,26.7,52,32.2,35.6,31,31,4,96,40,538,0
04-02-2017,10,26.3,63.1,32.2,31,32.2,35.6,31,23,11,198,69,509,1
04-02-2017,11,26.3,63.1,32.2,31,35.6,35.6,23,23,11,198,72,493,1
04-02-2017,12,25.9,64.1,35.6,23,35.6,35.6,23,19,11,197,72,542,1
04-02-2017,13,25.9,64.1,35.6,23,35.6,33.3,19,19,11,199,72,532,1
04-02-2017,14,27.3,63.7,35.6,19,35.6,33.3,19,25,10,180,68,528,1
04-02-2017,15,27.3,63.7,35.6,19,33.3,29.4,25,25,0,0,1,482,1
04-02-2017,16,25.9,64.1,33.3,25,33.3,29.4,25,31,2,77,36,566,1
04-02-2017,17,25.9,64.1,33.3,25,29.4,27.8,31,31,11,196,64,547,1
04-02-2017,18,27.2,63.7,29.4,31,29.4,27.8,31,30,9,151,51,542,1
04-02-2017,19,27.2,63.7,29.4,31,27.8,26.7,30,30,0,0,1,557,1
04-02-2017,20,26.1,64.6,27.8,30,27.8,26.7,30,38,0,20,16,516,0
